,r,lr,lora_alpha,model_size,score,epoch,multi,gen,mmlu,Abstract (target),Introduction (target),Introduction-multi (target),Conclusion (target),Abstract (irrelevant 1),Introduction (irrelevant 1),Introduction-multi (irrelevant 1),Conclusion (irrelevant 1),Introduction (irrelevant 2),Total texts,Total instructions,MMLU,LoRA layers
1130,37,4.369984239574605e-05,385,7,0.12260124276256007,1,0.8760330578512396,0.12260124276256007,0.14,11,194,645,121,46,101,5319,98,14,6742,175,18,4
1197,60,8.776183539159358e-05,592,7,0.12050214818394628,9,0.9669421487603306,0.12050214818394628,0.24,28,190,295,57,8,365,2722,20,7,4318,622,4,4
145,68,3.8997157689678284e-05,748,7,0.12738238421765133,1,0.768595041322314,0.12738238421765133,0.28,5,167,292,15,5,63,57,4,3,631,17,3,4
43,217,6.381153772224695e-05,257,7,0.10799834173283047,1,0.9669421487603306,0.10799834173283047,0.32,11,38,1,43,702,5098,47165,392,352,63518,9714,2,4
1236,52,5.805118170043198e-05,631,7,0.13068275669864568,9,0.9173553719008265,0.13068275669864568,0.32,38,200,181,62,11,408,340,28,11,1797,515,3,4
815,32,7.147205330870883e-05,536,7,0.12237125791709222,10,0.9256198347107438,0.12237125791709222,0.28,21,120,563,76,15,252,4018,22,23,6030,909,11,4
1164,43,7.085405845596131e-05,304,7,0.12153993700273712,1,0.8925619834710744,0.12153993700273712,0.3,13,197,489,115,43,443,1569,81,8,3345,380,7,4
1217,71,6.808945637686546e-05,808,7,0.13613290880689702,10,0.9338842975206612,0.13613290880689702,0.36,30,249,222,37,6,954,241,26,5,2212,436,6,4
29,116,7.071974446063901e-05,121,7,0.0001550387596899225,1,0.256198347107438,0.0001550387596899225,0.12,46,118,228,167,18,12347,3504,1403,30092,48464,537,4,8
867,45,6.432081051153156e-05,479,7,0.11663926444205362,1,0.9256198347107438,0.11663926444205362,0.32,13,159,507,104,20,236,2441,58,52,4252,634,28,4
413,43,1.3943043759171954e-05,279,7,0.11969185354816607,1,0.7933884297520661,0.11969185354816607,0.4,1,131,435,10,2,4,6,2,9,635,28,7,4
192,68,2.524949082364843e-05,568,7,0.11291036644991782,1,0.7272727272727273,0.11291036644991782,0.34,21,234,561,208,53,198,1667,41,6,3055,54,12,4
339,43,3.716378894652637e-05,477,7,0.11484418825572153,2,0.7520661157024794,0.11484418825572153,0.28,17,199,506,47,143,140,1319,13,2,2481,85,10,4
167,143,2.2625086764488468e-05,945,7,0.0965276394408903,1,0.6942148760330579,0.0965276394408903,0.38,66,241,550,122,13,257,658,20,17,1960,5,11,4
1207,66,9.994421736860081e-05,845,7,0.10268016031744012,9,0.9256198347107438,0.10268016031744012,0.36,32,221,244,50,6,551,2217,22,5,4562,1211,3,4
850,46,5.439465101489791e-05,416,7,0.13514612615168053,10,0.8677685950413223,0.13514612615168053,0.28,14,138,541,123,10,218,1927,17,27,3228,197,16,4
13,63,0.00024496293261608174,43,7,0.10590016287810657,1,0.7107438016528925,0.10590016287810657,0.28,3,2,226,10,10,171,1411,7,1,1843,1,1,4
1226,59,1.4336478180890398e-05,875,7,0.1115971864777136,9,0.9256198347107438,0.1115971864777136,0.2,28,208,269,76,8,692,180,19,7,2347,858,2,8
110,32,1.2134333132351766e-07,180,7,0.11899700762828377,10,0.7933884297520661,0.11899700762828377,0.34,4,248,737,2,22,1,2,2,2,1024,2,2,8
1261,56,7.74092749291017e-05,455,7,0.1274911083909013,10,0.9256198347107438,0.1274911083909013,0.2,18,248,406,70,7,372,3621,50,16,5472,660,4,4
1189,60,8.776183539159358e-05,592,7,0.12034140402154675,1,0.9090909090909091,0.12034140402154675,0.24,28,190,295,57,8,365,2722,20,7,4318,622,4,4
1178,56,8.70580315478555e-05,478,7,0.12984731479888437,9,0.9669421487603306,0.12984731479888437,0.38,21,198,377,143,7,242,2184,36,14,3574,346,6,4
1199,66,9.994421736860081e-05,845,7,0.10954208682257582,1,0.9421487603305785,0.10954208682257582,0.2,32,221,244,50,6,551,2217,22,5,4562,1211,3,4
40,193,7.9593213584277e-05,36,7,0.061942328520456856,1,0.71900826446281,0.061942328520456856,0.4,2,3,1,11,299,34937,8,230,1,35508,1,15,4
42,129,4.8650566180012965e-05,176,7,0.04996434151298984,1,0.4132231404958678,0.04996434151298984,0.3,1,33,3,8,2397,52,115812,6880,38,129696,1,4471,8
1085,37,7.880821717619036e-05,622,7,0.13284201681241622,9,0.8925619834710744,0.13284201681241622,0.28,16,159,616,337,8,173,791,19,30,2413,259,5,4
1111,39,5.3473347783857974e-05,414,7,0.13056939629157568,9,0.9090909090909091,0.13056939629157568,0.22,14,132,30,139,25,196,1827,40,64,2680,196,17,4
133,63,9.98316998752904e-05,368,7,0.11972607282856135,1,0.6363636363636364,0.11972607282856135,0.4,15,36,224,31,6,75,30,14,4,448,9,4,4
128,91,4.506504760742117e-06,403,7,0.1137742594290828,1,0.71900826446281,0.1137742594290828,0.32,3,84,742,15,1,26,17,1,1,897,6,1,4
1129,45,6.947985582249568e-05,491,7,0.1240029463442218,9,0.9256198347107438,0.1240029463442218,0.22,13,157,496,110,30,237,2366,63,12,4148,637,27,4
1012,65,8.701828607706614e-05,195,7,0.13749538532074465,10,0.9256198347107438,0.13749538532074465,0.2,19,174,428,70,7,344,270,48,6,2039,669,4,4
1252,56,7.74092749291017e-05,455,7,0.12643824220917024,1,0.9338842975206612,0.12643824220917024,0.3,18,248,406,70,7,372,3621,50,16,5472,660,4,4
1145,41,8.472449108098993e-05,365,7,0.1100352548762224,9,0.8925619834710744,0.1100352548762224,0.36,9,131,171,165,11,333,1338,32,33,2696,464,9,4
25,44,0.0001155052405394058,100,7,0.10413777016989316,1,0.7024793388429752,0.10413777016989316,0.26,1,11,105,3,695,347,103,4,12046,13327,11,1,4
1040,36,9.716568231000396e-05,551,7,0.12452303910758182,10,0.9256198347107438,0.12452303910758182,0.22,16,203,518,86,23,278,1843,39,19,3571,541,5,4
1260,56,7.74092749291017e-05,455,7,0.12359090325803208,9,0.9173553719008265,0.12359090325803208,0.28,18,248,406,70,7,372,3621,50,16,5472,660,4,4
137,80,4.750504566628207e-07,566,7,0.12290504347774148,1,0.768595041322314,0.12290504347774148,0.32,10,164,153,55,1,6,11,5,45,602,14,138,4
147,62,3.3701609851468846e-05,805,7,0.10530828417995404,1,0.71900826446281,0.10530828417995404,0.28,26,181,519,130,12,649,183,3,15,1747,18,11,4
1050,38,7.577915077460234e-05,535,7,0.1186688209894965,10,0.9421487603305785,0.1186688209894965,0.28,8,208,435,101,20,431,4093,84,23,6270,861,6,4
1198,60,8.776183539159358e-05,592,7,0.10795322398154425,10,0.9256198347107438,0.10795322398154425,0.28,28,190,295,57,8,365,2722,20,7,4318,622,4,4
139,54,3.674227742063916e-07,328,7,0.1154143707621676,1,0.7851239669421488,0.1154143707621676,0.26,35,109,508,213,24,7,110,75,1,2250,406,762,8
1188,60,8.765969169041082e-05,690,7,0.13702149182242473,10,0.9090909090909091,0.13702149182242473,0.38,26,225,312,64,8,156,343,20,7,1697,532,4,4
1163,32,4.79051687511362e-05,410,7,0.136365708260717,9,0.9090909090909091,0.136365708260717,0.28,16,150,443,74,9,210,821,159,10,2561,664,5,4
1246,66,8.65389607362105e-05,657,7,0.1375714834069231,1,0.9008264462809917,0.1375714834069231,0.22,20,163,348,81,8,199,142,48,6,1295,274,6,4
1112,39,5.3473347783857974e-05,414,7,0.1258544719059295,10,0.8925619834710744,0.1258544719059295,0.3,14,132,30,139,25,196,1827,40,64,2680,196,17,4
1146,41,8.472449108098993e-05,365,7,0.11788081672547192,10,0.8925619834710744,0.11788081672547192,0.3,9,131,171,165,11,333,1338,32,33,2696,464,9,4
127,32,1.0808243571215033e-07,643,7,0.11916515932467556,10,0.7355371900826446,0.11916515932467556,0.32,2,54,161,2,15,1,2,8,2,251,2,2,8
1060,42,9.626432387618333e-05,390,7,0.1346403410490158,1,0.9504132231404959,0.1346403410490158,0.28,12,214,472,187,38,759,1169,30,18,3202,290,13,4
986,52,6.114681452933229e-05,747,7,0.1271497165760575,1,0.9008264462809917,0.1271497165760575,0.28,39,1,185,60,11,409,160,28,11,1494,528,62,4
448,37,8.666639562167691e-05,322,7,0.12679970093978604,1,0.9173553719008265,0.12679970093978604,0.14,12,139,455,121,103,121,5268,117,7,6636,279,14,4
212,50,2.175508880296903e-05,470,7,0.09335028345950562,2,0.6859504132231405,0.09335028345950562,0.26,27,189,317,137,30,390,1610,11,23,2790,11,45,4
178,49,1.0234353228435351e-05,487,7,0.10571500526136897,2,0.7520661157024794,0.10571500526136897,0.32,7,64,354,80,9,693,259,2,15,1497,9,5,4
1061,42,9.626432387618333e-05,390,7,0.12597055353109501,2,0.9256198347107438,0.12597055353109501,0.16,12,214,472,187,38,759,1169,30,18,3202,290,13,4
911,34,6.88410363997523e-05,315,7,0.11818669217394934,2,0.8842975206611571,0.11818669217394934,0.32,13,201,463,131,23,446,1650,77,9,3384,367,4,4
823,42,5.978128654869109e-05,480,7,0.13977248422697192,8,0.8842975206611571,0.13977248422697192,0.18,13,206,539,193,12,244,1347,47,38,2952,303,10,4
209,37,1.5309346215137748e-05,877,7,0.12500645338970792,2,0.8925619834710744,0.12500645338970792,0.2,40,95,620,73,21,532,565,96,11,2279,216,10,4
370,42,7.435523156465573e-05,347,7,0.08479268516663559,2,0.6115702479338843,0.08479268516663559,0.16,10,160,482,141,59,280,11166,205,1,12522,1,17,4
206,61,5.075354287897378e-05,674,7,0.12714971371891684,2,0.8016528925619835,0.12714971371891684,0.3,13,248,207,49,174,303,7490,19,11,8667,133,20,4
900,48,5.5779649416257474e-05,339,7,0.1425136144956765,8,0.8760330578512396,0.1425136144956765,0.3,15,167,591,89,10,316,1038,53,21,2583,240,43,4
311,39,5.3627851228064524e-05,506,7,0.11460458358284036,1,0.71900826446281,0.11460458358284036,0.32,18,242,646,115,117,148,3241,63,3,4659,57,9,4
202,75,5.379757322127252e-05,457,7,0.13391132499501415,2,0.8347107438016529,0.13391132499501415,0.24,15,153,347,91,114,130,3984,173,29,5122,84,2,4
182,68,3.0989714394906104e-05,782,7,0.1399517654237118,2,0.8264462809917356,0.1399517654237118,0.2,6,174,316,40,17,220,664,3,6,1468,19,3,4
967,72,7.08673955426682e-05,844,7,0.12707093148630277,1,0.9256198347107438,0.12707093148630277,0.2,30,224,227,40,8,735,183,18,4,2277,803,5,4
316,36,4.46302529474513e-05,513,7,0.11897912636125342,1,0.8181818181818182,0.11897912636125342,0.18,18,204,729,88,228,65,3268,23,3,4756,121,9,4
198,62,5.414455776083498e-05,600,7,0.1304167452950694,2,0.8099173553719008,0.1304167452950694,0.22,30,196,748,166,150,133,3252,69,29,4862,84,5,4
1069,38,9.709727427391945e-05,491,7,0.13894855010692458,2,0.9421487603305785,0.13894855010692458,0.28,7,218,476,215,17,259,1495,46,46,3199,417,3,4
193,68,2.524949082364843e-05,568,7,0.12414266402689825,2,0.768595041322314,0.12414266402689825,0.24,21,234,561,208,53,198,1667,41,6,3055,54,12,4
